tramite_tipo;ID_Denuncia;tramite_fecha;fecha_inscripcion_inicial;registro_seccional_codigo;registro_seccional_descripcion;registro_seccional_provincia;automotor_origen;automotor_anio_modelo;automotor_tipo_codigo;automotor_tipo_descripcion;automotor_marca_codigo;automotor_marca_descripcion;automotor_modelo_codigo;automotor_modelo_descripcion;automotor_uso_codigo;automotor_uso_descripcion;titular_tipo_persona;titular_domicilio_localidad;titular_domicilio_provincia;titular_genero;titular_anio_nacimiento;titular_pais_nacimiento;titular_porcentaje_titularidad;titular_domicilio_provincia_id;titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO;DEN-9106;4/1/2024;29/1/1999;21049;ROSARIO;Santa Fe;Nacional;1999;;SEDAN;08;CHEVROLET;66;CORSA WAGON 5 PTAS GLS 1.7;1;Privado;Física;ROSARIO;SANTA FE;Masculino;1987;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-5043;25/1/2024;5/4/2010;21048;SAN LORENZO;Santa Fe;Nacional;2010;;FURGON;34;PEUGEOT;GH;PARTNER FURGON 1.4 N PLC CONFORT;1;Privado;Física;CAPITAN BERMUDEZ;SANTA FE;Masculino;1985;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-8536;19/1/2024;5/9/2000;21070;ROSARIO;Santa Fe;Nacional;2000;;SEDAN;08;CHEVROLET;80;CORSA GL 1.6 MPFI 5P(AA+DP);1;Privado;Física;ROSARIO;SANTA FE;Masculino;1962;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-4436;10/1/2024;18/11/2011;1221;PILAR;Buenos Aires;Nacional;2011;;FURGON;37;RENAULT;VW;KANGOO CONFORT 1.6CD AA DA SVT1PL 600KG;1;Privado;Física;PILAR;BUENOS AIRES;Masculino;1978;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8496;17/1/2024;13/10/2000;1231;TRES DE FEBRERO;Buenos Aires;Nacional;2000;;SEDAN;08;CHEVROLET;52;CORSA GL A/A Y D/P;1;Privado;Física;LOMA HERMOSA;BUENOS AIRES;Masculino;1981;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8490;18/1/2024;20/10/2000;1164;MAR DEL PLATA;Buenos Aires;Nacional;2000;;SEDAN;08;CHEVROLET;76;CORSA WIND 1.7 DIESEL-3P;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Masculino;1979;ARGENTINA;33;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-7992;29/1/2024;13/3/2002;1120;LA MATANZA;Buenos Aires;Nacional;2002;;FURGON;29;MERCEDES BENZ;AC;SPRINTER 312D/F3550;1;Privado;Física;VILLA MADERO;BUENOS AIRES;Masculino;1983;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4553;22/1/2024;5/8/2011;1168;MORON;Buenos Aires;Importado;2011;;FURGON;104;PEUGEOT;564;EXPERT 1.6 HDI CONFORT;1;Privado;Física;EL PALOMAR;BUENOS AIRES;Masculino;1957;URUGUAY;100;6;URY
DENUNCIA DE ROBO O HURTO;DEN-9118;22/1/2024;4/2/1999;1077;QUILMES;Buenos Aires;Nacional;1999;;SEDAN;08;CHEVROLET;62;CORSA 4 PTAS.GL. 1.7DIES BASE;1;Privado;Física;BERNAL;BUENOS AIRES;No identificado;2001;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8769;8/1/2024;5/1/2000;1059;MAR DEL PLATA;Buenos Aires;Importado;2000;;FURGON;047;FORD;224;TRANSIT 120 S;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Masculino;1970;ARGENTINA;100;6;ARG
